地区	正式指标	正式数值
北京市	计算机数	692303
天津市	计算机数	211014
河北省	计算机数	379899
山西省	计算机数	186279
内蒙古	计算机数	144621
辽宁省	计算机数	429456
吉林省	计算机数	251515
黑龙江	计算机数	307598
上海市	计算机数	423346
江苏省	计算机数	871108
浙江省	计算机数	524011
安徽省	计算机数	326559
福建省	计算机数	292242
江西省	计算机数	318463
山东省	计算机数	607944
河南省	计算机数	523189
湖北省	计算机数	557214
湖南省	计算机数	392503
广东省	计算机数	658567
广西	计算机数	226587
海南省	计算机数	55041
重庆市	计算机数	265704
四川省	计算机数	484175
贵州省	计算机数	137451
云南省	计算机数	191261
西藏	计算机数	12069
陕西省	计算机数	422397
甘肃省	计算机数	136113
青海省	计算机数	17593
宁夏	计算机数	46743
新疆	计算机数	107327
北京市	教室	18185
天津市	教室	8932
河北省	教室	24007
山西省	教室	17822
内蒙古	教室	10842
辽宁省	教室	25176
吉林省	教室	12486
黑龙江	教室	19815
上海市	教室	12990
江苏省	教室	36714
浙江省	教室	20960
安徽省	教室	26443
福建省	教室	14085
江西省	教室	24666
山东省	教室	39533
河南省	教室	37324
湖北省	教室	25592
湖南省	教室	24942
广东省	教室	22817
广西	教室	12141
海南省	教室	2889
重庆市	教室	15720
四川省	教室	27424
贵州省	教室	15047
云南省	教室	13609
西藏	教室	900
陕西省	教室	19959
甘肃省	教室	8394
青海省	教室	1320
宁夏	教室	2475
新疆	教室	8051
北京市	固定资产值	13069473.43
天津市	固定资产值	3190889.1
河北省	固定资产值	5656859.55
山西省	固定资产值	2812354.45
内蒙古	固定资产值	2693222.14
辽宁省	固定资产值	6545005.69
吉林省	固定资产值	3910646.83
黑龙江	固定资产值	5510251.4
上海市	固定资产值	7432706.87
江苏省	固定资产值	13975213.14
浙江省	固定资产值	7966133.85
安徽省	固定资产值	4804958.14
福建省	固定资产值	4870581.13
江西省	固定资产值	4769391.08
山东省	固定资产值	10338295.61
河南省	固定资产值	7001997.57
湖北省	固定资产值	8307484.37
湖南省	固定资产值	5794471.88
广东省	固定资产值	9293412.24
广西	固定资产值	2648543.38
海南省	固定资产值	1057193.27
重庆市	固定资产值	4921050.71
四川省	固定资产值	7672547.78
贵州省	固定资产值	2128631.75
云南省	固定资产值	3867888.34
西藏	固定资产值	237999.14
陕西省	固定资产值	7189776.61
甘肃省	固定资产值	1967961.76
青海省	固定资产值	225740.21
宁夏	固定资产值	772903.63
新疆	固定资产值	1464830.96
北京市	教学、科研仪器设备资产	4555908.64
天津市	教学、科研仪器设备资产	927498.27
河北省	教学、科研仪器设备资产	1097331.04
山西省	教学、科研仪器设备资产	610364.65
内蒙古	教学、科研仪器设备资产	514162
辽宁省	教学、科研仪器设备资产	1312922.89
吉林省	教学、科研仪器设备资产	868081.22
黑龙江	教学、科研仪器设备资产	1226033.44
上海市	教学、科研仪器设备资产	2145881.14
江苏省	教学、科研仪器设备资产	3030900.42
浙江省	教学、科研仪器设备资产	1833983.73
安徽省	教学、科研仪器设备资产	1132269.36
福建省	教学、科研仪器设备资产	929308.58
江西省	教学、科研仪器设备资产	789417.32
山东省	教学、科研仪器设备资产	1937909.19
河南省	教学、科研仪器设备资产	1405624.31
湖北省	教学、科研仪器设备资产	1797850.99
湖南省	教学、科研仪器设备资产	1159689.58
广东省	教学、科研仪器设备资产	2112007
广西	教学、科研仪器设备资产	679284.41
海南省	教学、科研仪器设备资产	176727.47
重庆市	教学、科研仪器设备资产	714958.89
四川省	教学、科研仪器设备资产	1678940.7
