时间顺序排序	地区	正式指标	正式数值	正式单位
2000年	重庆市	公共图书馆数	42	个
2001年	重庆市	公共图书馆数	42	个
2002年	重庆市	公共图书馆数	44	个
2003年	重庆市	公共图书馆数	44	个
2004年	重庆市	公共图书馆数	44	个
2005年	重庆市	公共图书馆数	43	个
2006年	重庆市	公共图书馆数	43	个
2007年	重庆市	公共图书馆数	43	个
2008年	重庆市	公共图书馆数	43	个
2009年	重庆市	公共图书馆数	43	个
2010年	重庆市	公共图书馆数	43	个
2011年	重庆市	公共图书馆数	43	个
2012年	重庆市	公共图书馆数	43	个
2013年	重庆市	公共图书馆数	43	个
2014年	重庆市	公共图书馆数	43	个
2000年	重庆市	工业增加值	633.98	亿元
2001年	重庆市	工业增加值	577	亿元
2002年	重庆市	工业增加值	651	亿元
2003年	重庆市	工业增加值	933.75	亿元
2004年	重庆市	工业增加值	927.51	亿元
2005年	重庆市	工业增加值	1293.81	亿元
2006年	重庆市	工业增加值	1234.12	亿元
2007年	重庆市	工业增加值	1572.26	亿元
2008年	重庆市	工业增加值	2036.4	亿元
2009年	重庆市	工业增加值	2917.4	亿元
2010年	重庆市	工业增加值	3697.83	亿元
2011年	重庆市	工业增加值	4690.46	亿元
2012年	重庆市	工业增加值	4981.01	亿元
2013年	重庆市	工业增加值	5249.65	亿元
2014年	重庆市	工业增加值	5175.8	亿元
2000年	重庆市	电视覆盖率	93.74	%
2001年	重庆市	电视覆盖率	94.3	%
2002年	重庆市	电视覆盖率	95	%
2003年	重庆市	电视覆盖率	95.71	%
2004年	重庆市	电视覆盖率	95.73	%
2005年	重庆市	电视覆盖率	96	%
2006年	重庆市	电视覆盖率	96.02	%
2007年	重庆市	电视覆盖率	96.03	%
2008年	重庆市	电视覆盖率	96.42	%
2009年	重庆市	电视覆盖率	96.46	%
2010年	重庆市	电视覆盖率	97.4	%
2011年	重庆市	电视覆盖率	98.6	%
2012年	重庆市	电视覆盖率	98.8	%
2013年	重庆市	电视覆盖率	98.9	%
2014年	重庆市	电视覆盖率	98.95	%
2000年	重庆市	房屋竣工面积	5337	万平方米
2001年	重庆市	房屋竣工面积	4939	万平方米
2002年	重庆市	房屋竣工面积	6403	万平方米
2003年	重庆市	房屋竣工面积	5959	万平方米
2004年	重庆市	房屋竣工面积	5560	万平方米
2005年	重庆市	房屋竣工面积	6385	万平方米
2006年	重庆市	房屋竣工面积	5979	万平方米
2007年	重庆市	房屋竣工面积	5751	万平方米
2008年	重庆市	房屋竣工面积	6485.3	万平方米
2009年	重庆市	房屋竣工面积	7473.16	万平方米
2010年	重庆市	房屋竣工面积	6409.3	万平方米
2011年	重庆市	房屋竣工面积	13755.87	万平方米
2012年	重庆市	房屋竣工面积	6379.2	万平方米
2013年	重庆市	房屋竣工面积	12184.4	万平方米
2014年	重庆市	房屋竣工面积	6029.1	万平方米
2000年	重庆市	工业产品销售率	99.1	%
2001年	重庆市	工业产品销售率	99.2	%
2002年	重庆市	工业产品销售率	98.1	%
2003年	重庆市	工业产品销售率	97.83	%
2004年	重庆市	工业产品销售率	99.9	%
2005年	重庆市	工业产品销售率	98.8	%
2006年	重庆市	工业产品销售率	98.44	%
2007年	重庆市	工业产品销售率	97.2	%
2008年	重庆市	工业产品销售率	98	%
2009年	重庆市	工业产品销售率	98.3	%
2010年	重庆市	工业产品销售率	98.11	%
2011年	重庆市	工业产品销售率	97.4	%
2012年	重庆市	工业产品销售率	97.8	%
2013年	重庆市	工业产品销售率	97.9	%
2014年	重庆市	工业产品销售率	98	%
2000年	重庆市	GDP	1603.2	亿元
2001年	重庆市	GDP	1765.7	亿元
2002年	重庆市	GDP	1990.01	亿元
2003年	重庆市	GDP	2272.82	亿元
2004年	重庆市	GDP	2692.81	亿元
2005年	重庆市	GDP	3467.72	亿元
2006年	重庆市	GDP	3907.23	亿元
2007年	重庆市	GDP	4676.13	亿元
2008年	重庆市	GDP	5793.66	亿元
2009年	重庆市	GDP	6530.01	亿元
2010年	重庆市	GDP	7925.58	亿元
2011年	重庆市	GDP	10011.37	亿元
2012年	重庆市	GDP	11409.6	亿元
2013年	重庆市	GDP	12656.7	亿元
2014年	重庆市	GDP	14265.4	亿元
2000年	重庆市	总人口数	2848.82	万人
2001年	重庆市	总人口数	2829	万人
2002年	重庆市	总人口数	2814	万人
2003年	重庆市	总人口数	2803	万人
2004年	重庆市	总人口数	2793	万人
2005年	重庆市	总人口数	2798	万人
2006年	重庆市	总人口数	2808	万人
2007年	重庆市	总人口数	2816	万人
2008年	重庆市	总人口数	2839	万人
2009年	重庆市	总人口数	2859	万人
2010年	重庆市	总人口数	2885	万人
2011年	重庆市	总人口数	2919	万人
2012年	重庆市	总人口数	2945	万人
2013年	重庆市	总人口数	2970	万人
2014年	重庆市	总人口数	3375	万人
2000年	重庆市	总户数	9389000	户
2001年	重庆市	总户数	9506000	户
2002年	重庆市	总户数	9617000	户
2003年	重庆市	总户数	9770100	户
2004年	重庆市	总户数	9886000	户
2005年	重庆市	总户数	10104101	户
2006年	重庆市	总户数	10307000	户
2007年	重庆市	总户数	10570000	户
2008年	重庆市	总户数	10802000	户
2009年	重庆市	总户数	11107000	户
2010年	重庆市	总户数	11548300	户
2011年	重庆市	总户数	12052000	户
2012年	重庆市	总户数	12206400	户
2013年	重庆市	总户数	8771	户
2014年	重庆市	总户数	8678	户
