时间顺序排序	地区	正式指标	正式数值	正式单位
2001年	万州区	电视覆盖率	95	%
2002年	万州区	电视覆盖率	96	%
2003年	万州区	电视覆盖率	96	%
2004年	万州区	电视覆盖率	95.2	%
2005年	万州区	电视覆盖率	95	%
2006年	万州区	电视覆盖率	95.2	%
2007年	万州区	电视覆盖率	95	%
2008年	万州区	电视覆盖率	96.5	%
2009年	万州区	电视覆盖率	96.5	%
2010年	万州区	电视覆盖率	96.57	%
2011年	万州区	电视覆盖率	98.5	%
2012年	万州区	电视覆盖率	99	%
2013年	万州区	电视覆盖率	99	%
2014年	万州区	电视覆盖率	99	%
2004年	万州区	工业企业利润总额	1.5107	亿元
2005年	万州区	工业企业利润总额	1.5106	亿元
2006年	万州区	工业企业利润总额	1.7872	亿元
2007年	万州区	工业企业利润总额	3.5752	亿元
2008年	万州区	工业企业利润总额	9.6974	亿元
2009年	万州区	工业企业利润总额	15.0706	亿元
2010年	万州区	工业企业利润总额	20.1972	亿元
2011年	万州区	工业企业利润总额	31.7714	亿元
2012年	万州区	工业企业利润总额	32.1001	亿元
2013年	万州区	工业企业利润总额	33.5334	亿元
2014年	万州区	工业企业利润总额	48.6557	亿元
2001年	万州区	房屋竣工面积	440.2	万平方米
2002年	万州区	房屋竣工面积	421.2	万平方米
2003年	万州区	房屋竣工面积	347	万平方米
2004年	万州区	房屋竣工面积	369.6	万平方米
2005年	万州区	房屋竣工面积	383.3	万平方米
2006年	万州区	房屋竣工面积	366.9	万平方米
2007年	万州区	房屋竣工面积	462.5	万平方米
2008年	万州区	房屋竣工面积	539	万平方米
2009年	万州区	房屋竣工面积	755.2	万平方米
2010年	万州区	房屋竣工面积	567.6	万平方米
2011年	万州区	房屋竣工面积	812.8248	万平方米
2012年	万州区	房屋竣工面积	959.24	万平方米
2013年	万州区	房屋竣工面积	918.5801	万平方米
2014年	万州区	房屋竣工面积	846.02	万平方米
2000年	万州区	第一产业增加值	11.566	亿元
2001年	万州区	第一产业增加值	11.0099	亿元
2002年	万州区	第一产业增加值	11.8454	亿元
2003年	万州区	第一产业增加值	12.7	亿元
