地区	正式指标	正式数值
天津市	知识产权保护得分	4.2
天津市	高等教育入学率得分	0.25
天津市	教育系统的质量得分	4.2
天津市	数学和科学教育的质量得分	4.2
天津市	管理学校的质量得分	4.4
天津市	学校的网络接入得分	3.6
天津市	特定训练服务的可用性得分	4.2
天津市	教师培训的广度得分	4.2
天津市	创新能力得分	4.2
天津市	科研机构的质量得分	4.1
天津市	公司在研发上的投入得分	3.9
天津市	大学企业合作研发得分	3.9
天津市	政府对高新技术产品的投入得分	3.9
天津市	可用的科学家和工程师得分	4.2
天津市	专利、应用得分	1.6
中国	知识产权保护得分	4
中国	高等教育入学率得分	0.27
中国	教育系统的质量得分	3.9
中国	数学和科学教育的质量得分	4.4
中国	管理学校的质量得分	3.9
中国	学校的网络接入得分	4.8
中国	特定训练服务的可用性得分	4.2
中国	教师培训的广度得分	4.2
中国	创新能力得分	4.2
中国	科研机构的质量得分	4.2
中国	公司在研发上的投入得分	4.2
中国	大学企业合作研发得分	4.4
中国	政府对高新技术产品的投入得分	4.3
中国	可用的科学家和工程师得分	4.5
中国	专利、应用得分	13.4
河北省	知识产权保护得分	3.7
河北省	高等教育入学率得分	0.26
河北省	教育系统的质量得分	2.4
河北省	数学和科学教育的质量得分	2.5
河北省	管理学校的质量得分	4
河北省	学校的网络接入得分	3.6
河北省	特定训练服务的可用性得分	3.7
河北省	教师培训的广度得分	4
河北省	创新能力得分	3.8
河北省	科研机构的质量得分	3.6
河北省	公司在研发上的投入得分	3.3
河北省	大学企业合作研发得分	3.8
河北省	政府对高新技术产品的投入得分	3.1
河北省	可用的科学家和工程师得分	3.3
河北省	专利、应用得分	3.5
山西省	知识产权保护得分	3
山西省	高等教育入学率得分	0.76
山西省	教育系统的质量得分	3.5
山西省	数学和科学教育的质量得分	4.3
山西省	管理学校的质量得分	3.7
山西省	学校的网络接入得分	5.1
山西省	特定训练服务的可用性得分	4.3
山西省	教师培训的广度得分	3.8
山西省	创新能力得分	3.8
山西省	科研机构的质量得分	4
山西省	公司在研发上的投入得分	3.2
山西省	大学企业合作研发得分	3.6
山西省	政府对高新技术产品的投入得分	3.3
山西省	可用的科学家和工程师得分	4.1
山西省	专利、应用得分	7.7
