时间顺序排序	地区	正式指标	正式数值	正式单位
1990年	中国	人均GDP增长率	7.6	%
1997年	中国	人均GDP增长率	7.7	%
1998年	中国	人均GDP增长率	6.8	%
1999年	中国	人均GDP增长率	6.2	%
2000年	中国	人均GDP增长率	7.6	%
2001年	中国	人均GDP增长率	6.7	%
2002年	中国	人均GDP增长率	8.4	%
2003年	中国	人均GDP增长率	9.3	%
2004年	中国	人均GDP增长率	9.4	%
2005年	中国	人均GDP增长率	9.8	%
2006年	中国	人均GDP增长率	11	%
2007年	中国	人均GDP增长率	13.6	%
2008年	中国	人均GDP增长率	9	%
2009年	中国	人均GDP增长率	8.6	%
2011年	中国	人均GDP增长率	8.8	%
2012年	中国	人均GDP增长率	7.2	%
2013年	中国	人均GDP增长率	7.1	%
2014年	中国	人均GDP增长率	6.8	%
1952年	中国	GDP	679	亿元
1953年	中国	GDP	824.2	亿元
1954年	中国	GDP	859.4	亿元
1955年	中国	GDP	910.8	亿元
1956年	中国	GDP	1029	亿元
1957年	中国	GDP	1069.3	亿元
1958年	中国	GDP	1308.21	亿元
1959年	中国	GDP	1440.4	亿元
1960年	中国	GDP	1457.5	亿元
1961年	中国	GDP	1220.94	亿元
1962年	中国	GDP	1151.24	亿元
1963年	中国	GDP	1236.4	亿元
1964年	中国	GDP	1455.54	亿元
1965年	中国	GDP	1717.2038	亿元
1966年	中国	GDP	1873.1	亿元
1967年	中国	GDP	1780.3	亿元
1968年	中国	GDP	1730.2	亿元
1969年	中国	GDP	1945.8	亿元
1970年	中国	GDP	2261.3241	亿元
1971年	中国	GDP	2435.3	亿元
1972年	中国	GDP	2530.2241	亿元
1973年	中国	GDP	2733.4	亿元
1974年	中国	GDP	2803.7426	亿元
1975年	中国	GDP	3013.1108	亿元
1976年	中国	GDP	2961.5	亿元
1977年	中国	GDP	3221.1	亿元
1978年	中国	GDP	3645.2	亿元
1979年	中国	GDP	4062.6	亿元
1980年	中国	GDP	4545.6	亿元
1981年	中国	GDP	4891.6	亿元
1982年	中国	GDP	5323.4	亿元
1983年	中国	GDP	5962.7	亿元
1984年	中国	GDP	7208.1	亿元
1985年	中国	GDP	9016	亿元
1986年	中国	GDP	10275.2	亿元
1987年	中国	GDP	12058.6	亿元
1988年	中国	GDP	15042.8	亿元
1989年	中国	GDP	16992.3	亿元
1990年	中国	GDP	18667.8	亿元
1991年	中国	GDP	21781.5	亿元
1992年	中国	GDP	26923.5	亿元
1993年	中国	GDP	35333.9	亿元
1994年	中国	GDP	48197.9	亿元
1995年	中国	GDP	60793.7	亿元
1996年	中国	GDP	71176.6	亿元
1997年	中国	GDP	78973	亿元
1998年	中国	GDP	84402.3	亿元
1999年	中国	GDP	89677.1	亿元
2000年	中国	GDP	99214.6	亿元
2001年	中国	GDP	109655.2	亿元
2002年	中国	GDP	120332.7	亿元
2003年	中国	GDP	135822.8	亿元
2004年	中国	GDP	159878.3	亿元
2005年	中国	GDP	184937.4	亿元
2006年	中国	GDP	216314.4	亿元
2007年	中国	GDP	265810.3	亿元
2008年	中国	GDP	314045.4	亿元
2009年	中国	GDP	340902.8	亿元
2010年	中国	GDP	401512.8	亿元
2011年	中国	GDP	473104	亿元
2012年	中国	GDP	518942.1	亿元
2013年	中国	GDP	568845.2	亿元
2014年	中国	GDP	636463	亿元
1952年	中国	人均GDP	119.4	元
1953年	中国	人均GDP	142	元
1954年	中国	人均GDP	144.4	元
1955年	中国	人均GDP	150	元
1956年	中国	人均GDP	166	元
1957年	中国	人均GDP	168	元
1958年	中国	人均GDP	200.3	元
1959年	中国	人均GDP	216.3	元
1960年	中国	人均GDP	218.5	元
1961年	中国	人均GDP	185	元
1962年	中国	人均GDP	173	元
1963年	中国	人均GDP	181.2	元
1964年	中国	人均GDP	208.4225	元
1965年	中国	人均GDP	240.1046	元
1966年	中国	人均GDP	255	元
1967年	中国	人均GDP	236	元
1968年	中国	人均GDP	223.4	元
