时间顺序排序	地区	正式指标	正式数值	正式单位
1985年	中国	第一产业增加值	2564.4	亿元
1986年	中国	第一产业增加值	2788.7	亿元
1987年	中国	第一产业增加值	3233	亿元
1988年	中国	第一产业增加值	3865.4	亿元
1989年	中国	第一产业增加值	4265.9	亿元
1990年	中国	第一产业增加值	5062	亿元
1991年	中国	第一产业增加值	5342.2	亿元
1992年	中国	第一产业增加值	5866.6	亿元
1993年	中国	第一产业增加值	6963.8	亿元
1994年	中国	第一产业增加值	9572.7	亿元
1995年	中国	第一产业增加值	12135.8	亿元
1996年	中国	第一产业增加值	14015.4	亿元
1997年	中国	第一产业增加值	14441.9	亿元
1998年	中国	第一产业增加值	14817.6	亿元
1999年	中国	第一产业增加值	14770	亿元
2000年	中国	第一产业增加值	14944.7	亿元
2001年	中国	第一产业增加值	15781.3	亿元
2002年	中国	第一产业增加值	16537	亿元
2003年	中国	第一产业增加值	17381.7	亿元
2004年	中国	第一产业增加值	21412.7	亿元
2005年	中国	第一产业增加值	22420	亿元
2006年	中国	第一产业增加值	24040	亿元
2007年	中国	第一产业增加值	28627	亿元
2008年	中国	第一产业增加值	33702	亿元
2009年	中国	第一产业增加值	35226	亿元
1985年	中国	国民总收入	9040.7	亿元
1986年	中国	国民总收入	10274.4	亿元
1987年	中国	国民总收入	12050.6	亿元
1988年	中国	国民总收入	15036.8	亿元
1989年	中国	国民总收入	17000.9	亿元
1990年	中国	国民总收入	18718.3	亿元
1991年	中国	国民总收入	21826.2	亿元
1992年	中国	国民总收入	26937.3	亿元
1993年	中国	国民总收入	35260	亿元
1994年	中国	国民总收入	48108.5	亿元
1995年	中国	国民总收入	59810.5	亿元
1996年	中国	国民总收入	70142.5	亿元
1997年	中国	国民总收入	78060.9	亿元
1998年	中国	国民总收入	83024.3	亿元
1999年	中国	国民总收入	88479.2	亿元
2000年	中国	国民总收入	98000.5	亿元
2001年	中国	国民总收入	108068.2	亿元
2002年	中国	国民总收入	119095.7	亿元
2003年	中国	国民总收入	134977	亿元
2004年	中国	国民总收入	159453.6	亿元
2005年	中国	国民总收入	183617.4	亿元
2006年	中国	国民总收入	215904.4	亿元
2007年	中国	国民总收入	266422	亿元
2008年	中国	国民总收入	316030.3	亿元
2009年	中国	国民总收入	340320	亿元
1985年	中国	国民总收入指数	113.2	(上年=100)
1986年	中国	国民总收入指数	108.5	(上年=100)
1987年	中国	国民总收入指数	111.5	(上年=100)
1988年	中国	国民总收入指数	111.3	(上年=100)
1989年	中国	国民总收入指数	104.2	(上年=100)
1990年	中国	国民总收入指数	104.1	(上年=100)
1991年	中国	国民总收入指数	109.1	(上年=100)
1992年	中国	国民总收入指数	114.1	(上年=100)
1993年	中国	国民总收入指数	113.7	(上年=100)
1994年	中国	国民总收入指数	113.1	(上年=100)
1995年	中国	国民总收入指数	109.3	(上年=100)
1996年	中国	国民总收入指数	110.2	(上年=100)
1997年	中国	国民总收入指数	109.6	(上年=100)
1998年	中国	国民总收入指数	107.3	(上年=100)
1999年	中国	国民总收入指数	107.9	(上年=100)
2000年	中国	国民总收入指数	108.6	(上年=100)
2001年	中国	国民总收入指数	108.1	(上年=100)
2002年	中国	国民总收入指数	109.5	(上年=100)
2003年	中国	国民总收入指数	110.5	(上年=100)
2004年	中国	国民总收入指数	110.5	(上年=100)
2005年	中国	国民总收入指数	110.8	(上年=100)
2006年	中国	国民总收入指数	113.3	(上年=100)
2007年	中国	国民总收入指数	114.6	(上年=100)
2008年	中国	国民总收入指数	110.1	(上年=100)
2009年	中国	国民总收入指数	108.3	(上年=100)
1985年	中国	人均GDP指数	111.9	(上年=100)
1986年	中国	人均GDP指数	107.2	(上年=100)
1987年	中国	人均GDP指数	109.8	(上年=100)
1988年	中国	人均GDP指数	109.5	(上年=100)
1989年	中国	人均GDP指数	102.5	(上年=100)
1990年	中国	人均GDP指数	102.3	(上年=100)
1991年	中国	人均GDP指数	107.7	(上年=100)
1992年	中国	人均GDP指数	112.8	(上年=100)
1993年	中国	人均GDP指数	112.7	(上年=100)
1994年	中国	人均GDP指数	111.8	(上年=100)
1995年	中国	人均GDP指数	109.7	(上年=100)
1996年	中国	人均GDP指数	108.9	(上年=100)
1997年	中国	人均GDP指数	108.2	(上年=100)
1998年	中国	人均GDP指数	106.8	(上年=100)
1999年	中国	人均GDP指数	106.7	(上年=100)
2000年	中国	人均GDP指数	107.6	(上年=100)
2001年	中国	人均GDP指数	107.5	(上年=100)
2002年	中国	人均GDP指数	108.4	(上年=100)
2003年	中国	人均GDP指数	109.3	(上年=100)
2004年	中国	人均GDP指数	109.4	(上年=100)
2005年	中国	人均GDP指数	110.7	(上年=100)
2006年	中国	人均GDP指数	112	(上年=100)
2007年	中国	人均GDP指数	113.6	(上年=100)
2008年	中国	人均GDP指数	109.1	(上年=100)
2009年	中国	人均GDP指数	108.7	(上年=100)
1985年	中国	人均GDP	858	元
1986年	中国	人均GDP	963	元
1987年	中国	人均GDP	1112	元
1988年	中国	人均GDP	1366	元
1989年	中国	人均GDP	1519	元
1990年	中国	人均GDP	1644	元
1991年	中国	人均GDP	1893	元
1992年	中国	人均GDP	2311	元
1993年	中国	人均GDP	2998	元
1994年	中国	人均GDP	4044	元
1995年	中国	人均GDP	5046	元
1996年	中国	人均GDP	5846	元
1997年	中国	人均GDP	6420	元
1998年	中国	人均GDP	6796	元
1999年	中国	人均GDP	7159	元
2000年	中国	人均GDP	7858	元
2001年	中国	人均GDP	8622	元
2002年	中国	人均GDP	9398	元
2003年	中国	人均GDP	10542	元
2004年	中国	人均GDP	12336	元
2005年	中国	人均GDP	14185	元
2006年	中国	人均GDP	16500	元
2007年	中国	人均GDP	20169	元
2008年	中国	人均GDP	23708	元
2009年	中国	人均GDP	25608	元
