时间顺序排序	地区	正式指标	正式数值	正式单位
2000年	安徽省	GDP	2902.1	亿元
2001年	安徽省	GDP	3290.13	亿元
2002年	安徽省	GDP	3569.1	亿元
2003年	安徽省	GDP	3973.21	亿元
2004年	安徽省	GDP	4813	亿元
2005年	安徽省	GDP	5376	亿元
2006年	安徽省	GDP	6148.73	亿元
2007年	安徽省	GDP	7360.92	亿元
2008年	安徽省	GDP	8851.66	亿元
2009年	安徽省	GDP	10062.82	亿元
2010年	安徽省	GDP	12359.33	亿元
2011年	安徽省	GDP	15300.65	亿元
2012年	安徽省	GDP	17212.05	亿元
2013年	安徽省	GDP	19038.9	亿元
2014年	安徽省	GDP	20848.8	亿元
2000年	安徽省	人均GDP	4961	元
2001年	安徽省	人均GDP	5313	元
2002年	安徽省	人均GDP	5817	元
2003年	安徽省	人均GDP	6375	元
2004年	安徽省	人均GDP	7768	元
2005年	安徽省	人均GDP	8810.41	元
2006年	安徽省	人均GDP	10055	元
2007年	安徽省	人均GDP	12045	元
2008年	安徽省	人均GDP	14448	元
2009年	安徽省	人均GDP	16408	元
2010年	安徽省	人均GDP	20888	元
2011年	安徽省	人均GDP	25659	元
2012年	安徽省	人均GDP	28792	元
2013年	安徽省	人均GDP	31684	元
2014年	安徽省	人均GDP	34425	元
2000年	安徽省	城镇居民家庭人均可支配收入	5294	元
2001年	安徽省	城镇居民家庭人均可支配收入	5669	元
2002年	安徽省	城镇居民家庭人均可支配收入	6032.4	元
2003年	安徽省	城镇居民家庭人均可支配收入	6778.03	元
2004年	安徽省	城镇居民家庭人均可支配收入	7511.43	元
2005年	安徽省	城镇居民家庭人均可支配收入	8471	元
2006年	安徽省	城镇居民家庭人均可支配收入	9771.1	元
2007年	安徽省	城镇居民家庭人均可支配收入	11474	元
2008年	安徽省	城镇居民家庭人均可支配收入	12990.4	元
2009年	安徽省	城镇居民家庭人均可支配收入	14086	元
2010年	安徽省	城镇居民家庭人均可支配收入	15788.2	元
2011年	安徽省	城镇居民家庭人均可支配收入	18606.13	元
2012年	安徽省	城镇居民家庭人均可支配收入	21024.21	元
2013年	安徽省	城镇居民家庭人均可支配收入	23114	元
2014年	安徽省	城镇居民家庭人均可支配收入	24839	元
2000年	安徽省	农村居民家庭人均现金收入	1901.6	元
2001年	安徽省	农村居民家庭人均现金收入	2064.26	元
2002年	安徽省	农村居民家庭人均现金收入	2218	元
2003年	安徽省	农村居民家庭人均现金收入	2255.3	元
2004年	安徽省	农村居民家庭人均现金收入	2587.9	元
2005年	安徽省	农村居民家庭人均现金收入	3043.2	元
2006年	安徽省	农村居民家庭人均现金收入	3530	元
2007年	安徽省	农村居民家庭人均现金收入	4092.1	元
2008年	安徽省	农村居民家庭人均现金收入	4776	元
2009年	安徽省	农村居民家庭人均现金收入	5225	元
2010年	安徽省	农村居民家庭人均现金收入	5960	元
2011年	安徽省	农村居民家庭人均现金收入	7464.5	元
2012年	安徽省	农村居民家庭人均现金收入	8505.1	元
2013年	安徽省	农村居民家庭人均现金收入	9682.14	元
2014年	安徽省	农村居民家庭人均现金收入	11441.05	元
2000年	安徽省	国内旅游人数	2974	万人次
2001年	安徽省	国内旅游人数	3364	万人次
2002年	安徽省	国内旅游人数	3884	万人次
2003年	安徽省	国内旅游人数	3388	万人次
2004年	安徽省	国内旅游人数	4329	万人次
2005年	安徽省	国内旅游人数	4684.14	万人次
2006年	安徽省	国内旅游人数	6159	万人次
2007年	安徽省	国内旅游人数	7849	万人次
2008年	安徽省	国内旅游人数	9938.2	万人次
2009年	安徽省	国内旅游人数	12268	万人次
2010年	安徽省	国内旅游人数	15349	万人次
2011年	安徽省	国内旅游人数	22535	万人次
2012年	安徽省	国内旅游人数	29229.1	万人次
2013年	安徽省	国内旅游人数	33601.09	万人次
