时间顺序排序	地区	正式指标	正式数值	正式单位
2000年	青海省	r国内旅游人数	317.7	万人次
2001年	青海省	r国内旅游人数	375	万人次
2002年	青海省	r国内旅游人数	418	万人次
2003年	青海省	r国内旅游人数	394.3	万人次
2004年	青海省	r国内旅游人数	394	万人次
2005年	青海省	r国内旅游人数	633	万人次
2006年	青海省	r国内旅游人数	810	万人次
2007年	青海省	r国内旅游人数	997	万人次
2008年	青海省	r国内旅游人数	902	万人次
2009年	青海省	r国内旅游人数	1105	万人次
2010年	青海省	r国内旅游人数	1221.5	万人次
2011年	青海省	r国内旅游人数	1407.2	万人次
2012年	青海省	r国内旅游人数	1581	万人次
2013年	青海省	r国内旅游人数	1780.4	万人次
2014年	青海省	r国内旅游人数	2005.6	万人次
2000年	青海省	r国内旅游收入	100000	万元
2001年	青海省	r国内旅游收入	120000	万元
2002年	青海省	r国内旅游收入	143700	万元
2003年	青海省	r国内旅游收入	142500	万元
2004年	青海省	r国内旅游收入	190000	万元
2005年	青海省	r国内旅游收入	250000	万元
2006年	青海省	r国内旅游收入	350000	万元
2007年	青海省	r国内旅游收入	461100	万元
2008年	青海省	r国内旅游收入	470000	万元
2009年	青海省	r国内旅游收入	590000	万元
2010年	青海省	r国内旅游收入	700000	万元
2011年	青海省	r国内旅游收入	910000	万元
2012年	青海省	r国内旅游收入	1220000	万元
2013年	青海省	r国内旅游收入	1573400	万元
2014年	青海省	r国内旅游收入	2003100	万元
2000年	青海省	r旅行社数	62	个
2001年	青海省	r旅行社数	72	个
2002年	青海省	r旅行社数	89	个
2003年	青海省	r旅行社数	101	个
2004年	青海省	r旅行社数	121	个
2005年	青海省	r旅行社数	112	个
2006年	青海省	r旅行社数	150	个
2007年	青海省	r旅行社数	147	个
2008年	青海省	r旅行社数	184	个
2009年	青海省	r旅行社数	173	个
2010年	青海省	r旅行社数	197	个
2011年	青海省	r旅行社数	209	个
2012年	青海省	r旅行社数	229	个
2013年	青海省	r旅行社数	245	个
2014年	青海省	r旅行社数	247	个
2000年	青海省	r铁路客运量	352	万人
2001年	青海省	r铁路客运量	392	万人
2002年	青海省	r铁路客运量	436	万人
2003年	青海省	r铁路客运量	408	万人
2004年	青海省	r铁路客运量	386	万人
2005年	青海省	r铁路客运量	368	万人
2006年	青海省	r铁路客运量	411	万人
2007年	青海省	r铁路客运量	393	万人
2008年	青海省	r铁路客运量	407	万人
2009年	青海省	r铁路客运量	430.4	万人
2010年	青海省	r铁路客运量	474	万人
2011年	青海省	r铁路客运量	520.34	万人
2012年	青海省	r铁路客运量	544.1	万人
2013年	青海省	r铁路客运量	591.91	万人
2014年	青海省	r铁路客运量	615	万人
2000年	青海省	r人均公园绿地面积	3.74	平方米
2001年	青海省	r人均公园绿地面积	5.26	平方米
2002年	青海省	r人均公园绿地面积	5.92	平方米
2003年	青海省	r人均公园绿地面积	5.1	平方米
2004年	青海省	r人均公园绿地面积	6.74	平方米
2005年	青海省	r人均公园绿地面积	5.82	平方米
2006年	青海省	r人均公园绿地面积	7.81	平方米
2007年	青海省	r人均公园绿地面积	8.47	平方米
2008年	青海省	r人均公园绿地面积	8.53	平方米
2009年	青海省	r人均公园绿地面积	8.13	平方米
2010年	青海省	r人均公园绿地面积	8.53	平方米
2011年	青海省	r人均公园绿地面积	9.65	平方米
2012年	青海省	r人均公园绿地面积	9.81	平方米
2013年	青海省	r人均公园绿地面积	9.66	平方米
2014年	青海省	r人均公园绿地面积	10.78	平方米
2000年	青海省	rGDP	264	亿元
2001年	青海省	rGDP	301	亿元
2002年	青海省	rGDP	341.11	亿元
2003年	青海省	rGDP	390.21	亿元
2004年	青海省	rGDP	466.1	亿元
2005年	青海省	rGDP	543.32	亿元
2006年	青海省	rGDP	648.5	亿元
2007年	青海省	rGDP	797.35	亿元
2008年	青海省	rGDP	1018.62	亿元
2009年	青海省	rGDP	1081.27	亿元
2010年	青海省	rGDP	1350.43	亿元
2011年	青海省	rGDP	1670.44	亿元
2012年	青海省	rGDP	1893.54	亿元
2013年	青海省	rGDP	2101.1	亿元
2014年	青海省	rGDP	2301.1	亿元
2000年	青海省	r旅行社营业收入	5509.17	万元
2001年	青海省	r旅行社营业收入	7317.69	万元
2002年	青海省	r旅行社营业收入	11782.86	万元
2003年	青海省	r旅行社营业收入	9400.46	万元
2004年	青海省	r旅行社营业收入	12772.87	万元
2005年	青海省	r旅行社营业收入	12447.81	万元
2006年	青海省	r旅行社营业收入	17936.61	万元
2007年	青海省	r旅行社营业收入	27312.61	万元
2008年	青海省	r旅行社营业收入	18912.68	万元
2009年	青海省	r旅行社营业收入	26625.2	万元
2010年	青海省	r旅行社营业收入	33786.5	万元
2011年	青海省	r旅行社营业收入	45166.05	万元
2012年	青海省	r旅行社营业收入	63161.21	万元
2013年	青海省	r旅行社营业收入	60557.11	万元
2014年	青海省	r旅行社营业收入	69138.41	万元
2000年	青海省	r公路客运量	3250	万人
2001年	青海省	r公路客运量	3428	万人
2002年	青海省	r公路客运量	3556	万人
2003年	青海省	r公路客运量	3900	万人
2004年	青海省	r公路客运量	4200	万人
2005年	青海省	r公路客运量	4525	万人
2006年	青海省	r公路客运量	4900	万人
2007年	青海省	r公路客运量	5218	万人
2008年	青海省	r公路客运量	9000	万人
2009年	青海省	r公路客运量	9603	万人
2010年	青海省	r公路客运量	10439	万人
2011年	青海省	r公路客运量	11308	万人
2012年	青海省	r公路客运量	12100	万人
2013年	青海省	r公路客运量	4140	万人
2014年	青海省	r公路客运量	4769	万人
2000年	青海省	r人均GDP	5138.41	元
2001年	青海省	r人均GDP	5774	元
2002年	青海省	r人均GDP	6478.04	元
2003年	青海省	r人均GDP	7346	元
2004年	青海省	r人均GDP	8693	元
2005年	青海省	r人均GDP	10045	元
2006年	青海省	r人均GDP	11889	元
2007年	青海省	r人均GDP	14507	元
2008年	青海省	r人均GDP	18421	元
2009年	青海省	r人均GDP	19454	元
2010年	青海省	r人均GDP	24115	元
2011年	青海省	r人均GDP	29522	元
2012年	青海省	r人均GDP	33181	元
2013年	青海省	r人均GDP	36510	元
2014年	青海省	r人均GDP	39633	元
2000年	青海省	r城镇居民家庭人均收入	5196.7	元
2001年	青海省	r城镇居民家庭人均收入	5883.8	元
2002年	青海省	r城镇居民家庭人均收入	6510.1	元
2003年	青海省	r城镇居民家庭人均收入	7155.13	元
2004年	青海省	r城镇居民家庭人均收入	7785.1	元
2005年	青海省	r城镇居民家庭人均收入	8767	元
2006年	青海省	r城镇居民家庭人均收入	9803.13	元
2007年	青海省	r城镇居民家庭人均收入	11511.63	元
2008年	青海省	r城镇居民家庭人均收入	12881.03	元
2009年	青海省	r城镇居民家庭人均收入	14150.3	元
2010年	青海省	r城镇居民家庭人均收入	15481	元
2011年	青海省	r城镇居民家庭人均收入	17794.98	元
2012年	青海省	r城镇居民家庭人均收入	19746.63	元
2013年	青海省	r城镇居民家庭人均收入	22130.99	元
2014年	青海省	r城镇居民家庭人均收入	22307	元
2000年	青海省	r农村居民家庭人均现金收入	1365.72	元
2001年	青海省	r农村居民家庭人均现金收入	1470.6	元
2002年	青海省	r农村居民家庭人均现金收入	1653.81	元
2003年	青海省	r农村居民家庭人均现金收入	1740.3	元
2004年	青海省	r农村居民家庭人均现金收入	1957.1	元
2005年	青海省	r农村居民家庭人均现金收入	2287.54	元
2006年	青海省	r农村居民家庭人均现金收入	2592.6	元
2007年	青海省	r农村居民家庭人均现金收入	2905	元
2008年	青海省	r农村居民家庭人均现金收入	3198.2	元
2009年	青海省	r农村居民家庭人均现金收入	3753	元
2010年	青海省	r农村居民家庭人均现金收入	4096.3	元
2011年	青海省	r农村居民家庭人均现金收入	5263.4	元
2012年	青海省	r农村居民家庭人均现金收入	6154.9	元
2013年	青海省	r农村居民家庭人均现金收入	7764.3	元
2014年	青海省	r农村居民家庭人均现金收入	8226	元
2000年	青海省	r星级饭店数	15	个
2001年	青海省	r星级饭店数	29	个
2002年	青海省	r星级饭店数	39	个
2003年	青海省	r星级饭店数	50	个
2004年	青海省	r星级饭店数	58	个
2005年	青海省	r星级饭店数	84	个
2006年	青海省	r星级饭店数	97	个
2007年	青海省	r星级饭店数	106	个
2008年	青海省	r星级饭店数	117	个
2009年	青海省	r星级饭店数	119	个
2010年	青海省	r星级饭店数	122	个
2011年	青海省	r星级饭店数	96	个
2012年	青海省	r星级饭店数	134	个
2013年	青海省	r星级饭店数	164	个
2014年	青海省	r星级饭店数	219	个
2000年	青海省	r城镇居民家庭人均可支配收入	5170	元
2001年	青海省	r城镇居民家庭人均可支配收入	5854	元
2002年	青海省	r城镇居民家庭人均可支配收入	6200	元
2003年	青海省	r城镇居民家庭人均可支配收入	6745.32	元
2004年	青海省	r城镇居民家庭人均可支配收入	7320	元
2005年	青海省	r城镇居民家庭人均可支配收入	8058	元
2006年	青海省	r城镇居民家庭人均可支配收入	9000.4	元
2007年	青海省	r城镇居民家庭人均可支配收入	10276.1	元
2008年	青海省	r城镇居民家庭人均可支配收入	11648.3	元
2009年	青海省	r城镇居民家庭人均可支配收入	12692	元
2010年	青海省	r城镇居民家庭人均可支配收入	13855	元
2011年	青海省	r城镇居民家庭人均可支配收入	15603.31	元
2012年	青海省	r城镇居民家庭人均可支配收入	17566.28	元
2013年	青海省	r城镇居民家庭人均可支配收入	19498.54	元
2014年	青海省	r城镇居民家庭人均可支配收入	22307	元
2000年	青海省	r居民旅游消费价格指数	103.8	(上年=100)
2001年	青海省	r居民旅游消费价格指数	105.6	(上年=100)
2002年	青海省	r居民旅游消费价格指数	110.1	(上年=100)
2003年	青海省	r居民旅游消费价格指数	99.5	(上年=100)
2004年	青海省	r居民旅游消费价格指数	96	(上年=100)
2005年	青海省	r居民旅游消费价格指数	99.4	(上年=100)
2006年	青海省	r居民旅游消费价格指数	113.5	(上年=100)
2007年	青海省	r居民旅游消费价格指数	107.4	(上年=100)
2008年	青海省	r居民旅游消费价格指数	100.4	(上年=100)
2009年	青海省	r居民旅游消费价格指数	97.3	(上年=100)
2010年	青海省	r居民旅游消费价格指数	102.3	(上年=100)
2011年	青海省	r居民旅游消费价格指数	101.55	(上年=100)
2012年	青海省	r居民旅游消费价格指数	109.5	(上年=100)
2013年	青海省	r居民旅游消费价格指数	101.63	(上年=100)
2014年	青海省	r居民旅游消费价格指数	109.1	(上年=100)
