时间顺序排序	地区	正式指标	正式数值	正式单位
2000年	中国	常住人口	126743	万人
2001年	中国	常住人口	127627	万人
2002年	中国	常住人口	128453	万人
2003年	中国	常住人口	129227	万人
2004年	中国	常住人口	129988	万人
2005年	中国	常住人口	130756	万人
2006年	中国	常住人口	131448	万人
2007年	中国	常住人口	132129	万人
2008年	中国	常住人口	132802	万人
2009年	中国	常住人口	133474	万人
2010年	中国	常住人口	134091	万人
2011年	中国	常住人口	134735	万人
2012年	中国	常住人口	135404	万人
2013年	中国	常住人口	136072	万人
2014年	中国	常住人口	136782	万人
2000年	中国	第一产业增加值	14944.7	亿元
2001年	中国	第一产业增加值	15781.3	亿元
2002年	中国	第一产业增加值	16537	亿元
2003年	中国	第一产业增加值	17381.7	亿元
2004年	中国	第一产业增加值	21412.7	亿元
2005年	中国	第一产业增加值	22420	亿元
2006年	中国	第一产业增加值	24040	亿元
2007年	中国	第一产业增加值	28627	亿元
2008年	中国	第一产业增加值	33702	亿元
2009年	中国	第一产业增加值	35226	亿元
2010年	中国	第一产业增加值	40533.6	亿元
2011年	中国	第一产业增加值	47486.2	亿元
2012年	中国	第一产业增加值	52373.6	亿元
2013年	中国	第一产业增加值	56957	亿元
2014年	中国	第一产业增加值	58332	亿元
2000年	中国	第二产业增加值	45555.9	亿元
2001年	中国	第二产业增加值	49512.3	亿元
2002年	中国	第二产业增加值	53896.8	亿元
2003年	中国	第二产业增加值	62436.3	亿元
2004年	中国	第二产业增加值	73904.3	亿元
2005年	中国	第二产业增加值	87598.1	亿元
2006年	中国	第二产业增加值	103719.5	亿元
2007年	中国	第二产业增加值	125831.4	亿元
2008年	中国	第二产业增加值	149003.4	亿元
2009年	中国	第二产业增加值	157638.8	亿元
2010年	中国	第二产业增加值	187383.2	亿元
2011年	中国	第二产业增加值	220412.8	亿元
2012年	中国	第二产业增加值	235162	亿元
2013年	中国	第二产业增加值	249684.4	亿元
2014年	中国	第二产业增加值	271392	亿元
2000年	中国	第三产业增加值	38714	亿元
2001年	中国	第三产业增加值	44361.6	亿元
2002年	中国	第三产业增加值	49898.9	亿元
2003年	中国	第三产业增加值	56004.7	亿元
2004年	中国	第三产业增加值	64561.3	亿元
2005年	中国	第三产业增加值	74919.3	亿元
2006年	中国	第三产业增加值	88554.9	亿元
2007年	中国	第三产业增加值	111351.9	亿元
2008年	中国	第三产业增加值	131340	亿元
2009年	中国	第三产业增加值	148038	亿元
2010年	中国	第三产业增加值	173596	亿元
2011年	中国	第三产业增加值	205205	亿元
2012年	中国	第三产业增加值	231406.5	亿元
2013年	中国	第三产业增加值	262203.8	亿元
2014年	中国	第三产业增加值	306739	亿元
2000年	中国	国民总收入	98000.5	亿元
2001年	中国	国民总收入	108068.2	亿元
2002年	中国	国民总收入	119095.7	亿元
2003年	中国	国民总收入	134977	亿元
2004年	中国	国民总收入	159453.6	亿元
2005年	中国	国民总收入	183617.4	亿元
2006年	中国	国民总收入	215904.4	亿元
2007年	中国	国民总收入	266422	亿元
2008年	中国	国民总收入	316030.3	亿元
2009年	中国	国民总收入	340320	亿元
2010年	中国	国民总收入	399759.5	亿元
2011年	中国	国民总收入	468562.4	亿元
2012年	中国	国民总收入	516282.1	亿元
2013年	中国	国民总收入	566130.18	亿元
2014年	中国	国民总收入	634043.4	亿元
2000年	中国	总人口数	126743	万人
2001年	中国	总人口数	127627	万人
2002年	中国	总人口数	128453	万人
2003年	中国	总人口数	129227	万人
2004年	中国	总人口数	129988	万人
2005年	中国	总人口数	130756	万人
2006年	中国	总人口数	131448	万人
2007年	中国	总人口数	132129	万人
2008年	中国	总人口数	132802	万人
2009年	中国	总人口数	133450	万人
2010年	中国	总人口数	134091	万人
2011年	中国	总人口数	134735	万人
2012年	中国	总人口数	135404	万人
2013年	中国	总人口数	136072	万人
2014年	中国	总人口数	136782	万人
