时间顺序排序	地区	正式指标	正式数值	正式单位
2000年	中国	行政村数	735000	个
2001年	中国	行政村数	709257	个
2002年	中国	行政村数	695000	个
2003年	中国	行政村数	679000	个
2004年	中国	行政村数	653000	个
2005年	中国	行政村数	629079	个
2006年	中国	行政村数	625000	个
2007年	中国	行政村数	614000	个
2008年	中国	行政村数	604285	个
2009年	中国	行政村数	599127	个
2010年	中国	行政村数	595000	个
2011年	中国	行政村数	590000	个
2012年	中国	行政村数	588000	个
2013年	中国	行政村数	589447	个
2000年	中国	县个数	1674	个
2001年	中国	县个数	1660	个
2002年	中国	县个数	1649	个
2003年	中国	县个数	1642	个
2004年	中国	县个数	1636	个
2005年	中国	县个数	1636	个
2006年	中国	县个数	1635	个
2007年	中国	县个数	1635	个
2008年	中国	县个数	1635	个
2009年	中国	县个数	1636	个
2010年	中国	县个数	1633	个
2011年	中国	县个数	1456	个
2012年	中国	县个数	1453	个
2013年	中国	县个数	1442	个
2014年	中国	县个数	1425	个
2003年	中国	GDP中第二产业增加值	52.3	(GDP=100)
2004年	中国	GDP中第二产业增加值	52.9	(GDP=100)
2005年	中国	GDP中第二产业增加值	47.5	(GDP=100)
2006年	中国	GDP中第二产业增加值	48.7	(GDP=100)
2000年	中国	国民总收入	98000.5	亿元
2001年	中国	国民总收入	108068.2	亿元
2002年	中国	国民总收入	119095.7	亿元
2003年	中国	国民总收入	134977	亿元
2004年	中国	国民总收入	159453.6	亿元
2005年	中国	国民总收入	183617.4	亿元
2006年	中国	国民总收入	215904.4	亿元
2007年	中国	国民总收入	266422	亿元
2008年	中国	国民总收入	316030.3	亿元
2009年	中国	国民总收入	340320	亿元
2010年	中国	国民总收入	399759.5	亿元
2011年	中国	国民总收入	468562.4	亿元
2012年	中国	国民总收入	516282.1	亿元
2013年	中国	国民总收入	566130.18	亿元
2014年	中国	国民总收入	634043.4	亿元
