地区	正式指标	正式数值
北京市	二氧化硫年平均浓度	26
北京市	二氧化氮年平均浓度	56
北京市	可吸入颗粒物（PM10）年平均浓度	108
北京市	一氧化碳日均值第95百分位浓度	3.4
北京市	臭氧（O3）日最大8小时第90百分位浓度	188
北京市	细颗粒物（PM2.5）年平均浓度	89
北京市	空气质量达到及好于二级的天数	167
天津市	二氧化硫年平均浓度	59
天津市	二氧化氮年平均浓度	54
天津市	可吸入颗粒物（PM10）年平均浓度	150
天津市	一氧化碳日均值第95百分位浓度	3.7
天津市	臭氧（O3）日最大8小时第90百分位浓度	151
天津市	细颗粒物（PM2.5）年平均浓度	96
天津市	空气质量达到及好于二级的天数	145
石家庄市	二氧化硫年平均浓度	105
石家庄市	二氧化氮年平均浓度	68
石家庄市	可吸入颗粒物（PM10）年平均浓度	305
石家庄市	一氧化碳日均值第95百分位浓度	5.7
石家庄市	臭氧（O3）日最大8小时第90百分位浓度	173
石家庄市	细颗粒物（PM2.5）年平均浓度	154
石家庄市	空气质量达到及好于二级的天数	49
太原市	二氧化硫年平均浓度	80
太原市	二氧化氮年平均浓度	43
太原市	可吸入颗粒物（PM10）年平均浓度	157
太原市	一氧化碳日均值第95百分位浓度	3.4
太原市	臭氧（O3）日最大8小时第90百分位浓度	148
太原市	细颗粒物（PM2.5）年平均浓度	81
太原市	空气质量达到及好于二级的天数	162
呼和浩特市	二氧化硫年平均浓度	56
呼和浩特市	二氧化氮年平均浓度	40
呼和浩特市	可吸入颗粒物（PM10）年平均浓度	146
呼和浩特市	一氧化碳日均值第95百分位浓度	4.1
呼和浩特市	臭氧（O3）日最大8小时第90百分位浓度	104
呼和浩特市	细颗粒物（PM2.5）年平均浓度	57
呼和浩特市	空气质量达到及好于二级的天数	213
沈阳市	二氧化硫年平均浓度	90
沈阳市	二氧化氮年平均浓度	43
沈阳市	可吸入颗粒物（PM10）年平均浓度	129
沈阳市	一氧化碳日均值第95百分位浓度	3.2
沈阳市	臭氧（O3）日最大8小时第90百分位浓度	139
沈阳市	细颗粒物（PM2.5）年平均浓度	78
沈阳市	空气质量达到及好于二级的天数	215
长春市	二氧化硫年平均浓度	44
长春市	二氧化氮年平均浓度	44
长春市	可吸入颗粒物（PM10）年平均浓度	130
长春市	一氧化碳日均值第95百分位浓度	2.1
长春市	臭氧（O3）日最大8小时第90百分位浓度	127
长春市	细颗粒物（PM2.5）年平均浓度	73
长春市	空气质量达到及好于二级的天数	230
哈尔滨市	二氧化硫年平均浓度	44
哈尔滨市	二氧化氮年平均浓度	56
哈尔滨市	可吸入颗粒物（PM10）年平均浓度	119
哈尔滨市	一氧化碳日均值第95百分位浓度	2.2
哈尔滨市	臭氧（O3）日最大8小时第90百分位浓度	72
哈尔滨市	细颗粒物（PM2.5）年平均浓度	81
哈尔滨市	空气质量达到及好于二级的天数	239
上海市	二氧化硫年平均浓度	24
上海市	二氧化氮年平均浓度	48
上海市	可吸入颗粒物（PM10）年平均浓度	84
上海市	一氧化碳日均值第95百分位浓度	1.6
上海市	臭氧（O3）日最大8小时第90百分位浓度	158
上海市	细颗粒物（PM2.5）年平均浓度	62
上海市	空气质量达到及好于二级的天数	246
南京市	二氧化硫年平均浓度	37
