地区	正式指标	正式数值
北京市	二氧化硫年平均浓度	22
北京市	二氧化氮年平均浓度	57
北京市	可吸入颗粒物（PM10）年平均浓度	116
北京市	一氧化碳日均值第95百分位浓度	3.2
北京市	臭氧（O3）日最大8小时第90百分位浓度	200
北京市	细颗粒物（PM2.5）年平均浓度	86
北京市	空气质量达到及好于二级的天数	168
天津市	二氧化硫年平均浓度	49
天津市	二氧化氮年平均浓度	54
天津市	可吸入颗粒物（PM10）年平均浓度	133
天津市	一氧化碳日均值第95百分位浓度	2.9
天津市	臭氧（O3）日最大8小时第90百分位浓度	157
天津市	细颗粒物（PM2.5）年平均浓度	83
天津市	空气质量达到及好于二级的天数	175
石家庄市	二氧化硫年平均浓度	62
石家庄市	二氧化氮年平均浓度	53
石家庄市	可吸入颗粒物（PM10）年平均浓度	206
石家庄市	一氧化碳日均值第95百分位浓度	4.2
石家庄市	臭氧（O3）日最大8小时第90百分位浓度	161
石家庄市	细颗粒物（PM2.5）年平均浓度	124
石家庄市	空气质量达到及好于二级的天数	97
太原市	二氧化硫年平均浓度	73
太原市	二氧化氮年平均浓度	36
太原市	可吸入颗粒物（PM10）年平均浓度	138
太原市	一氧化碳日均值第95百分位浓度	3.2
太原市	臭氧（O3）日最大8小时第90百分位浓度	125
太原市	细颗粒物（PM2.5）年平均浓度	72
太原市	空气质量达到及好于二级的天数	197
呼和浩特市	二氧化硫年平均浓度	50
呼和浩特市	二氧化氮年平均浓度	44
呼和浩特市	可吸入颗粒物（PM10）年平均浓度	122
呼和浩特市	一氧化碳日均值第95百分位浓度	4
呼和浩特市	臭氧（O3）日最大8小时第90百分位浓度	117
呼和浩特市	细颗粒物（PM2.5）年平均浓度	46
呼和浩特市	空气质量达到及好于二级的天数	240
沈阳市	二氧化硫年平均浓度	82
沈阳市	二氧化氮年平均浓度	52
沈阳市	可吸入颗粒物（PM10）年平均浓度	124
沈阳市	一氧化碳日均值第95百分位浓度	2
沈阳市	臭氧（O3）日最大8小时第90百分位浓度	165
沈阳市	细颗粒物（PM2.5）年平均浓度	74
沈阳市	空气质量达到及好于二级的天数	190
长春市	二氧化硫年平均浓度	41
长春市	二氧化氮年平均浓度	47
长春市	可吸入颗粒物（PM10）年平均浓度	118
长春市	一氧化碳日均值第95百分位浓度	1.5
长春市	臭氧（O3）日最大8小时第90百分位浓度	132
长春市	细颗粒物（PM2.5）年平均浓度	68
长春市	空气质量达到及好于二级的天数	239
哈尔滨市	二氧化硫年平均浓度	57
哈尔滨市	二氧化氮年平均浓度	52
哈尔滨市	可吸入颗粒物（PM10）年平均浓度	111
哈尔滨市	一氧化碳日均值第95百分位浓度	1.6
哈尔滨市	臭氧（O3）日最大8小时第90百分位浓度	111
哈尔滨市	细颗粒物（PM2.5）年平均浓度	72
哈尔滨市	空气质量达到及好于二级的天数	241
上海市	二氧化硫年平均浓度	18
上海市	二氧化氮年平均浓度	45
上海市	可吸入颗粒物（PM10）年平均浓度	71
上海市	一氧化碳日均值第95百分位浓度	1.3
上海市	臭氧（O3）日最大8小时第90百分位浓度	149
上海市	细颗粒物（PM2.5）年平均浓度	52
上海市	空气质量达到及好于二级的天数	278
南京市	二氧化硫年平均浓度	25
南京市	二氧化氮年平均浓度	54
南京市	可吸入颗粒物（PM10）年平均浓度	124
南京市	一氧化碳日均值第95百分位浓度	1.6
南京市	臭氧（O3）日最大8小时第90百分位浓度	183
南京市	细颗粒物（PM2.5）年平均浓度	74
南京市	空气质量达到及好于二级的天数	188
杭州市	二氧化硫年平均浓度	21
杭州市	二氧化氮年平均浓度	50
杭州市	可吸入颗粒物（PM10）年平均浓度	98
杭州市	一氧化碳日均值第95百分位浓度	1.3
杭州市	臭氧（O3）日最大8小时第90百分位浓度	169
杭州市	细颗粒物（PM2.5）年平均浓度	65
杭州市	空气质量达到及好于二级的天数	216
合肥市	二氧化硫年平均浓度	23
合肥市	二氧化氮年平均浓度	31
合肥市	可吸入颗粒物（PM10）年平均浓度	113
合肥市	一氧化碳日均值第95百分位浓度	1.6
合肥市	臭氧（O3）日最大8小时第90百分位浓度	69
合肥市	细颗粒物（PM2.5）年平均浓度	83
合肥市	空气质量达到及好于二级的天数	151
福州市	二氧化硫年平均浓度	8
福州市	二氧化氮年平均浓度	36
福州市	可吸入颗粒物（PM10）年平均浓度	65
福州市	一氧化碳日均值第95百分位浓度	1.3
福州市	臭氧（O3）日最大8小时第90百分位浓度	137
福州市	细颗粒物（PM2.5）年平均浓度	34
福州市	空气质量达到及好于二级的天数	310
南昌市	二氧化硫年平均浓度	25
南昌市	二氧化氮年平均浓度	33
南昌市	可吸入颗粒物（PM10）年平均浓度	85
南昌市	一氧化碳日均值第95百分位浓度	1.6
南昌市	臭氧（O3）日最大8小时第90百分位浓度	129
南昌市	细颗粒物（PM2.5）年平均浓度	52
南昌市	空气质量达到及好于二级的天数	294
济南市	二氧化硫年平均浓度	69
济南市	二氧化氮年平均浓度	57
济南市	可吸入颗粒物（PM10）年平均浓度	172
济南市	一氧化碳日均值第95百分位浓度	2.4
济南市	臭氧（O3）日最大8小时第90百分位浓度	190
济南市	细颗粒物（PM2.5）年平均浓度	87
济南市	空气质量达到及好于二级的天数	107
郑州市	二氧化硫年平均浓度	43
郑州市	二氧化氮年平均浓度	51
郑州市	可吸入颗粒物（PM10）年平均浓度	158
郑州市	一氧化碳日均值第95百分位浓度	3.1
郑州市	臭氧（O3）日最大8小时第90百分位浓度	116
郑州市	细颗粒物（PM2.5）年平均浓度	88
郑州市	空气质量达到及好于二级的天数	135
武汉市	二氧化硫年平均浓度	21
武汉市	二氧化氮年平均浓度	55
武汉市	可吸入颗粒物（PM10）年平均浓度	114
武汉市	一氧化碳日均值第95百分位浓度	1.8
武汉市	臭氧（O3）日最大8小时第90百分位浓度	156
武汉市	细颗粒物（PM2.5）年平均浓度	82
武汉市	空气质量达到及好于二级的天数	177
长沙市	二氧化硫年平均浓度	24
长沙市	二氧化氮年平均浓度	42
长沙市	可吸入颗粒物（PM10）年平均浓度	84
长沙市	一氧化碳日均值第95百分位浓度	1.8
长沙市	臭氧（O3）日最大8小时第90百分位浓度	117
长沙市	细颗粒物（PM2.5）年平均浓度	74
长沙市	空气质量达到及好于二级的天数	224
广州市	二氧化硫年平均浓度	17
广州市	二氧化氮年平均浓度	48
广州市	可吸入颗粒物（PM10）年平均浓度	67
广州市	一氧化碳日均值第95百分位浓度	1.5
广州市	臭氧（O3）日最大8小时第90百分位浓度	165
广州市	细颗粒物（PM2.5）年平均浓度	49
广州市	空气质量达到及好于二级的天数	282
南宁市	二氧化硫年平均浓度	15
南宁市	二氧化氮年平均浓度	37
南宁市	可吸入颗粒物（PM10）年平均浓度	84
南宁市	一氧化碳日均值第95百分位浓度	1.6
南宁市	臭氧（O3）日最大8小时第90百分位浓度	126
南宁市	细颗粒物（PM2.5）年平均浓度	49
南宁市	空气质量达到及好于二级的天数	292
海口市	二氧化硫年平均浓度	6
海口市	二氧化氮年平均浓度	16
海口市	可吸入颗粒物（PM10）年平均浓度	42
海口市	一氧化碳日均值第95百分位浓度	0.9
海口市	臭氧（O3）日最大8小时第90百分位浓度	102
海口市	细颗粒物（PM2.5）年平均浓度	23
海口市	空气质量达到及好于二级的天数	346
重庆市	二氧化硫年平均浓度	24
重庆市	二氧化氮年平均浓度	39
重庆市	可吸入颗粒物（PM10）年平均浓度	98
重庆市	一氧化碳日均值第95百分位浓度	1.8
重庆市	臭氧（O3）日最大8小时第90百分位浓度	146
重庆市	细颗粒物（PM2.5）年平均浓度	65
重庆市	空气质量达到及好于二级的天数	246
成都市	二氧化硫年平均浓度	19
成都市	二氧化氮年平均浓度	59
成都市	可吸入颗粒物（PM10）年平均浓度	123
成都市	一氧化碳日均值第95百分位浓度	2
成都市	臭氧（O3）日最大8小时第90百分位浓度	147
成都市	细颗粒物（PM2.5）年平均浓度	77
成都市	空气质量达到及好于二级的天数	216
贵阳市	二氧化硫年平均浓度	24
贵阳市	二氧化氮年平均浓度	31
贵阳市	可吸入颗粒物（PM10）年平均浓度	74
贵阳市	一氧化碳日均值第95百分位浓度	1.3
贵阳市	臭氧（O3）日最大8小时第90百分位浓度	103
贵阳市	细颗粒物（PM2.5）年平均浓度	48
贵阳市	空气质量达到及好于二级的天数	301
昆明市	二氧化硫年平均浓度	20
昆明市	二氧化氮年平均浓度	36
昆明市	可吸入颗粒物（PM10）年平均浓度	70
昆明市	一氧化碳日均值第95百分位浓度	1.5
昆明市	臭氧（O3）日最大8小时第90百分位浓度	111
昆明市	细颗粒物（PM2.5）年平均浓度	35
昆明市	空气质量达到及好于二级的天数	350
拉萨市	二氧化硫年平均浓度	10
拉萨市	二氧化氮年平均浓度	20
拉萨市	可吸入颗粒物（PM10）年平均浓度	59
拉萨市	一氧化碳日均值第95百分位浓度	1.8
拉萨市	臭氧（O3）日最大8小时第90百分位浓度	134
拉萨市	细颗粒物（PM2.5）年平均浓度	25
拉萨市	空气质量达到及好于二级的天数	321
西安市	二氧化硫年平均浓度	32
西安市	二氧化氮年平均浓度	47
西安市	可吸入颗粒物（PM10）年平均浓度	152
西安市	一氧化碳日均值第95百分位浓度	3
西安市	臭氧（O3）日最大8小时第90百分位浓度	128
西安市	细颗粒物（PM2.5）年平均浓度	77
西安市	空气质量达到及好于二级的天数	172
兰州市	二氧化硫年平均浓度	29
兰州市	二氧化氮年平均浓度	48
兰州市	可吸入颗粒物（PM10）年平均浓度	126
兰州市	一氧化碳日均值第95百分位浓度	2.7
兰州市	臭氧（O3）日最大8小时第90百分位浓度	108
兰州市	细颗粒物（PM2.5）年平均浓度	61
兰州市	空气质量达到及好于二级的天数	247
西宁市	二氧化硫年平均浓度	41
西宁市	二氧化氮年平均浓度	38
西宁市	可吸入颗粒物（PM10）年平均浓度	121
西宁市	一氧化碳日均值第95百分位浓度	2.5
西宁市	臭氧（O3）日最大8小时第90百分位浓度	89
西宁市	细颗粒物（PM2.5）年平均浓度	63
西宁市	空气质量达到及好于二级的天数	261
银川市	二氧化硫年平均浓度	69
银川市	二氧化氮年平均浓度	42
银川市	可吸入颗粒物（PM10）年平均浓度	112
银川市	一氧化碳日均值第95百分位浓度	2.4
银川市	臭氧（O3）日最大8小时第90百分位浓度	124
银川市	细颗粒物（PM2.5）年平均浓度	53
银川市	空气质量达到及好于二级的天数	255
乌鲁木齐市	二氧化硫年平均浓度	25
乌鲁木齐市	二氧化氮年平均浓度	56
乌鲁木齐市	可吸入颗粒物（PM10）年平均浓度	146
乌鲁木齐市	一氧化碳日均值第95百分位浓度	3.4
乌鲁木齐市	臭氧（O3）日最大8小时第90百分位浓度	109
乌鲁木齐市	细颗粒物（PM2.5）年平均浓度	61
乌鲁木齐市	空气质量达到及好于二级的天数	202
