地区	正式指标	正式数值
北京市	工业产品销售率	98.9
天津市	工业产品销售率	97.8
河北省	工业产品销售率	97.8
山西省	工业产品销售率	94.9
内蒙古	工业产品销售率	96.9
辽宁省	工业产品销售率	97.6
吉林省	工业产品销售率	98
黑龙江	工业产品销售率	98.3
上海市	工业产品销售率	99.5
江苏省	工业产品销售率	98.4
浙江省	工业产品销售率	96.8
安徽省	工业产品销售率	97.6
福建省	工业产品销售率	97.2
江西省	工业产品销售率	98.9
山东省	工业产品销售率	99.1
河南省	工业产品销售率	98.3
湖北省	工业产品销售率	97.1
湖南省	工业产品销售率	98.4
广东省	工业产品销售率	97.1
广西	工业产品销售率	95.3
海南省	工业产品销售率	97.2
重庆市	工业产品销售率	98
四川省	工业产品销售率	97.8
贵州省	工业产品销售率	95.2
云南省	工业产品销售率	95.5
西藏	工业产品销售率	94.4
陕西省	工业产品销售率	95.4
甘肃省	工业产品销售率	94.3
青海省	工业产品销售率	94.9
宁夏	工业产品销售率	95.5
新疆	工业产品销售率	96.9
北京市	工业增加值	3746.8
北京市	固定资产投资额	75623000
河北省	工业增加值	13330.7
河北省	固定资产投资额	266719000
山西省	固定资产投资额	123545000
内蒙古	工业增加值	8004.4
内蒙古	固定资产投资额	120742000
吉林省	规模以上工业利润总额	13976900
吉林省	固定资产投资额	114865200
上海市	固定资产投资额	60164300
上海市	工业增加值	7362.84
浙江省	固定资产投资额	235550000
福建省	工业增加值	10426.71
福建省	固定资产投资额	184494800
江西省	规模以上工业利润总额	20439000
江西省	固定资产投资额	151100000
山东省	工业增加值	25340.9
河南省	工业增加值	15904.28
河南省	固定资产投资额	307821600
湖南省	工业增加值	10749.9
广东省	固定资产投资额	259280900
重庆市	工业增加值	5175.8
重庆市	固定资产投资额	132237500
四川省	工业增加值	12409
四川省	固定资产投资额	235775000
贵州省	固定资产投资额	87784000
陕西省	工业增加值	8090.39
陕西省	规模以上工业利润总额	17064500
陕西省	固定资产投资额	187096900
甘肃省	工业增加值	2263.2
甘肃省	固定资产投资额	77596200
青海省	工业增加值	953.88
青海省	固定资产投资额	29087100
新疆	工业增加值	3179.6
北京市	规模以上工业利润总额	15157500
北京市	工业用水总量	5.1
北京市	工业污染治理完成投资	75695
天津市	固定资产投资额	116262649
天津市	规模以上工业利润总额	22618300
天津市	工业增加值	7079.1
天津市	工业用水总量	5.4
天津市	工业污染治理完成投资	220923
河北省	规模以上工业利润总额	26109000
河北省	工业用水总量	24.5
河北省	工业污染治理完成投资	889518
山西省	规模以上工业利润总额	2563100
山西省	工业增加值	5471.01
山西省	工业用水总量	14.2
山西省	工业污染治理完成投资	311477
内蒙古	规模以上工业利润总额	12993200
内蒙古	工业用水总量	19.7
内蒙古	工业污染治理完成投资	775439
辽宁省	固定资产投资额	247308000
辽宁省	规模以上工业利润总额	21076300
辽宁省	工业增加值	12656.83
辽宁省	工业用水总量	22.8
辽宁省	工业污染治理完成投资	382184
吉林省	工业增加值	6424.88
吉林省	工业用水总量	26.8
吉林省	工业污染治理完成投资	163707
黑龙江	固定资产投资额	98290000
黑龙江	规模以上工业利润总额	10070800
黑龙江	工业增加值	4783.88
黑龙江	工业用水总量	29
黑龙江	工业污染治理完成投资	177572
上海市	规模以上工业利润总额	26500000
上海市	工业用水总量	66.2
上海市	工业污染治理完成投资	177859
江苏省	固定资产投资额	419386000
江苏省	规模以上工业利润总额	90571700
江苏省	工业增加值	26962.97
江苏省	工业用水总量	238
江苏省	工业污染治理完成投资	485096
浙江省	规模以上工业利润总额	37291300
浙江省	工业增加值	16771.9
浙江省	工业用水总量	55.7
浙江省	工业污染治理完成投资	675944
安徽省	固定资产投资额	218756000
安徽省	规模以上工业利润总额	19436200
安徽省	工业增加值	9455.48
安徽省	工业用水总量	92.7
安徽省	工业污染治理完成投资	176220
福建省	规模以上工业利润总额	23442700
福建省	工业用水总量	75.3
福建省	工业污染治理完成投资	423817
江西省	工业增加值	6848.63
江西省	工业用水总量	61.3
